DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\core\management\commands\runserver.py first seen with mtime 1719485750.5868275
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\Lib\email\quoprimime.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\postgres\forms\hstore.py first seen with mtime 1719485749.9864511
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\http\cookie.py first seen with mtime 1719485750.7193766
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\contrib\auth\validators.py first seen with mtime 1719485749.1776721
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\backends\base\introspection.py first seen with mtime 1719485750.6031954
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\Lib\asyncio\selector_events.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1719485750.7759194
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\Lib\opcode.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,127 autoreload File C:\Program Files\Python312\Lib\difflib.py first seen with mtime 1712653518.0
DEBUG 2024-06-28 17:15:29,132 autoreload File C:\Users\Asim\final2\pythonProject\.venv\Lib\site-packages\django\db\models\signals.py first seen with mtime 1719485750.6499534
